affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1986,2.0,140.77,NULL,39.97,1986,{'Name': 'Akita-Yake-yama'}
NULL,1986,2.0,15.213,NULL,38.789,1986,{'Name': 'Stromboli'}
600.0,1986,3400.0,10.5,NULL,6.25,1986,{'Name': 'Oku Volc Field'}
NULL,1986,2.0,110.442,NULL,-7.542,1986,{'Name': 'Merapi'}
NULL,1986,2.0,139.38,NULL,34.73,1986,{'Name': 'Oshima'}
30.0,1987,NULL,-90.601,NULL,14.381,1987,{'Name': 'Pacaya'}
14.0,1987,4.0,15.004,NULL,37.734,1987,{'Name': 'Etna'}
NULL,1987,125.0,124.148,5000000.0,-8.51,1987,{'Name': 'Sirung'}
NULL,1988,8.0,129.871,NULL,-4.525,1988,{'Name': 'Banda Api'}
NULL,1988,2.0,-84.703,NULL,10.463,1988,{'Name': 'Arenal'}
NULL,1988,2.0,112.92,NULL,-8.108,1988,{'Name': 'Semeru'}
NULL,1988,2.0,-71.58,NULL,-38.377,1988,{'Name': 'Lonquimay'}
NULL,1988,6.0,140.77,NULL,39.97,1988,{'Name': 'Akita-Yake-yama'}
NULL,1989,2.0,131.1,NULL,32.88,1989,{'Name': 'Aso'}
NULL,1989,4.0,130.87,NULL,31.93,1989,{'Name': 'Kirishima'}
NULL,1990,NULL,161.36,NULL,56.653,1990,{'Name': 'Shiveluch'}
NULL,1990,64.0,112.308,NULL,-7.93,1990,{'Name': 'Kelut'}
NULL,1990,2.0,131.1,NULL,32.88,1990,{'Name': 'Aso'}
NULL,1990,2.0,131.1,NULL,32.88,1990,{'Name': 'Aso'}
NULL,1990,NULL,-71.85,NULL,-15.78,1990,{'Name': 'Sabancaya'}
NULL,1990,12.0,152.203,NULL,-4.271,1990,{'Name': 'Rabaul'}
NULL,1990,8.0,-91.552,NULL,14.756,1990,{'Name': 'Santa Maria'}
NULL,1990,2.0,131.1,NULL,32.88,1990,{'Name': 'Aso'}
NULL,1990,2.0,29.25,NULL,-1.52,1990,{'Name': 'Nyiragongo;Africa-C'}
NULL,1990,8.0,112.308,NULL,-7.93,1990,{'Name': 'Kelut'}
NULL,1991,86.0,130.3,NULL,32.75,1991,{'Name': 'Unzen'}
8.0,1991,1250.0,120.35,NULL,15.13,1991,{'Name': 'Pinatubo'}
NULL,1991,2.0,158.195,NULL,52.453,1991,{'Name': 'Mutnovsky'}
NULL,1991,NULL,43.38,NULL,-11.75,1991,{'Name': 'Karthala'}
NULL,1991,NULL,-72.97,NULL,-45.9,1991,{'Name': 'Hudson; Cerro'}
NULL,1991,2.0,124.792,NULL,1.358,1991,{'Name': 'Lokon-Empung'}
