start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
/02/2012,/02/2012,Belgium,BEL,Vlaams Gewest province,Extreme temperature ,Cold wave,3,0,0,0,2012-0019,--,--
30/06/2015,05/07/2015,Belgium,BEL,"Vlaams Gewest, Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Région wallonne provinces",Extreme temperature ,Heat wave,410,0,0,0,2015-0410,--,--
//1990,//1990,Belize,BLZ,,Extreme temperature ,Cold wave,0,0,2250,0,1990-0641,--,--
/07/2000,/07/2000,Bolivia (Plurinational State of),BOL,"Cochabamba, Santa Cruz, La Paz provinces",Extreme temperature ,Cold wave,6,25277,0,0,2000-0416,--,--
/07/2001,/07/2001,Bolivia (Plurinational State of),BOL,"La Paz, Oruro, Cochabamba, Potosi provinces",Extreme temperature ,Cold wave,9,5,0,0,2001-0482,--,--
/07/2007,/07/2007,Bolivia (Plurinational State of),BOL,La Paz province,Extreme temperature ,Severe winter conditions,0,0,0,0,2007-0263,Snow/ice,--
/07/2010,/07/2010,Bolivia (Plurinational State of),BOL,Santa Cruz province,Extreme temperature ,Cold wave,4,0,0,0,2010-0294,--,--
/08/2013,/08/2013,Bolivia (Plurinational State of),BOL,"Cocapata village (Ayopaya district, Cochabamba province), Quime village (Inquisivi district, La Paz province), Tinquipaya areas (Tomas Frias district, Potosi province), Uncía, Llallagua areas (Rafael Bustillo district, Potosi province), Colquechaca area (Chayanta district, Potosi province), Tomave area (Antonio Quijarro district, Potosi province)",Extreme temperature ,Heat wave,18,17490,0,0,2013-0365,--,--
15/07/2007,22/07/2007,Bosnia and Herzegovina,BIH,"Stolac, Trebinje, Bileca districts (Republika Srpska), Neum, Citluk, Capljina cities (Neretvljanski, Federacija Bosne I Hercegovine province)",Extreme temperature ,Heat wave,0,0,0,0,2007-0235,--,--
/01/2009,/01/2009,Bosnia and Herzegovina,BIH,"Sarajevo district (Federacoja Bosne I Hercegovine province), Zenica city (Zenicko-dobojski district, Federacoja Bosne I Hercegovine province), Zvornik, Sokolac, Foca, Doboj districts (Republika Srpska province), Fazlagica Kula (Gacko district, Republika Spska province)",Extreme temperature ,Severe winter conditions,1,10000,0,0,2009-0030,--,--
19/12/2010,/12/2010,Bosnia and Herzegovina,BIH,Banja Luka district (Republika Srpska province),Extreme temperature ,Cold wave,2,0,0,0,2010-0633,--,--
