affected,end_date,deaths,lon,damage,lat,start_date
100,19/05/1994,12,90.41567669999999,0,23.7955252,19/05/1994
12656006,23/06/1995,250,91.86624619999999,200000,24.9086127,16/06/1995
461325,15/05/1995,50,91.8124369,0,22.3950583,15/05/1995
1250000,16/10/1995,400,88.63687720000001,175000,25.6388084,29/09/1995
351000,24/05/1995,41,91.8124369,300,22.3950583,17/05/1995
5663319,02/08/1996,33,89.62817299999999,10000,25.8094698,19/07/1996
165000,07/09/1996,22,88.6177005,0,24.3824506,26/08/1996
900030,13/07/1997,79,90.41567669999999,229000,23.7955252,13/07/1997
15000050,22/09/1998,1050,90.40190229999999,4300000,23.8004718,05/07/1998
441270,03/08/1999,31,91.1817487,0,23.46327,11/07/1999
50050,15/08/1999,17,91.8135891,0,22.3397485,11/08/1999
0,20/07/1999,82,91.71524289999999,0,22.5023678,30/06/1999
4000,05/08/1999,0,89.7766044,0,24.3997512,28/07/1999
100,11/04/1999,66,90.4871938,0,22.6899731,10/04/1999
200050,24/06/2000,11,91.8394152,0,22.3575206,24/06/2000
2467138,/10/2000,31,88.76236639999999,500000,23.8045989,/09/2000
500000,05/06/2001,9,88.8245373,0,26.1054653,05/06/2001
200000,31/08/2001,0,91.8345784,0,24.909502,31/08/2001
1500000,/08/2002,10,90.40190229999999,0,23.8004718,/07/2002
50000,10/10/2003,187,91.8345784,0,24.909502,11/06/2003
500000,03/07/2003,65,91.9422305,0,23.0720556,19/06/2003
36000000,03/08/2004,730,90.4142914,2200000,23.780582,20/06/2004
600000,18/09/2004,20,90.9310335,0,23.637634,11/09/2004
271700,18/10/2004,11,90.36296589999999,0,23.795222,07/10/2004
50000,28/05/2005,13,91.8345784,0,24.909502,25/05/2005
1000000,27/07/2005,23,89.62817299999999,0,25.8094698,07/07/2005
100000,20/10/2005,19,91.0451887,0,23.0099486,03/10/2005
76000,24/07/2006,0,91.9422305,0,23.0720556,31/05/2006
135775,20/09/2006,0,89.2278403,0,23.1599961,24/08/2006
80060,12/06/2007,120,91.8310611,14000,22.3664178,11/06/2007
13771380,03/08/2007,1110,89.67688509999999,100000,23.4236818,21/07/2007
20002,13/07/2008,16,91.9844177,0,21.4160368,26/06/2008
615638,08/09/2008,12,89.3624926,0,24.8620685,30/08/2008
500000,06/07/2009,6,91.3525002,0,24.1715976,03/07/2009
0,29/07/2009,10,91.1817487,0,23.46327,29/07/2009
75000,24/06/2010,0,90.8440435,0,24.6602771,24/06/2010
500000,12/10/2010,15,91.8124369,0,22.3950583,01/10/2010
1570559,29/07/2011,10,91.9844177,0,21.4160368,21/07/2011
5148475,02/07/2012,139,91.8124369,0,22.3950583,24/06/2012
250000,28/09/2012,0,90.35654269999999,0,22.7076146,21/09/2012
2800447,10/09/2014,59,89.4340888,160000,26.0006839,11/08/2014
400000,/09/2014,0,89.3624926,0,24.8620685,/09/2014
1401901,30/06/2015,20,92.21803399999999,40000,22.1964823,23/06/2015
10000,27/07/2015,11,90.35654269999999,0,22.7076146,25/07/2015
1900000,02/08/2016,106,89.62817299999999,0,25.8094698,19/07/2016
100,03/10/1984,0,-59.5824905,0,13.2560646,03/10/1984
40000,12/08/1993,0,26.8571286,100000,51.899561,25/07/1993
2000,10/04/1999,2,23.6466874,4380,52.0994234,07/03/1999
0,/04/1906,0,4.3639297,0,51.1522562,/04/1906
0,//1926,0,4.3639297,0,51.1522562,//1926
6000,//1928,0,4.3639297,0,51.1522562,//1928
0,22/11/1930,0,4.0370292,0,50.9655658,22/11/1930
350,31/01/1953,11,2.8888513,0,51.21783509999999,31/01/1953
0,29/05/1956,4,6.0287036,0,50.6314482,29/05/1956
600,26/08/1971,0,5.5598139,0,50.6364214,26/08/1971
0,24/08/1987,0,4.3639297,0,51.1522562,24/08/1987
600,11/01/1993,0,4.467957699999999,0,50.4514682,11/01/1993
0,31/12/1993,0,4.3639297,17000,51.1522562,20/12/1993
135,/08/1994,0,4.826277,0,50.6728374,/08/1994
140,14/09/1998,1,4.9913627,10000,50.9977087,12/09/1998
600,26/08/2002,0,4.3586671,0,50.4799511,26/08/2002
0,08/01/2003,0,3.8287848,0,50.7167477,01/01/2003
210,11/09/2005,0,5.509937,0,50.2345939,10/09/2005
690,15/11/2010,3,4.359160399999999,238146,50.85476360000001,11/11/2010
17000,/12/1979,0,-88.76623889999999,0,17.2546932,/12/1979
0,20/05/1990,0,-88.19070630000002,2200,17.5062139,20/05/1990
2600,/10/1995,0,-88.19070630000002,500,17.5062139,/10/1995
38000,12/11/2008,1,-89.0766604,9697,17.1606374,19/10/2008
20000,19/10/2015,0,-88.19070630000002,0,17.5062139,15/10/2015
580000,03/06/1982,0,1.8692193,0,6.414749,03/06/1982
475000,/10/1985,61,1.8692193,4800,6.414749,/10/1985
84000,/09/1988,0,2.6362413,0,9.3361199,/09/1988
123000,/07/1995,20,1.8692193,3100,6.414749,/07/1995
148727,29/09/1996,11,2.3668426,0,7.2189047,29/09/1996
51000,24/06/1997,0,2.4207527,0,6.352583699999999,24/06/1997
420000,/08/1998,0,1.3800817,0,10.3212898,/08/1998
10884,/09/2007,10,1.2440714,0,6.1710311,/07/2007
59419,/08/2009,3,1.7080958,0,6.6179162,/08/2009
5840,/07/2011,0,1.7131505,0,6.641633199999999,20/06/2011
600,06/10/1994,22,89.869473,0,27.5674062,06/10/1994
9000,/06/2001,0,18.7911759,0,44.87647750000001,/06/2001
275000,14/04/2004,0,18.380621,0,43.8435928,06/04/2004
3000,03/04/2004,0,17.4485495,0,44.0519464,23/03/2004
3100,09/12/2005,0,15.8606665,0,44.8141487,06/12/2005
14910,22/06/2010,0,18.3975117,87000,44.8876995,20/06/2010
20000,05/12/2010,3,17.2276243,0,43.7168867,03/12/2010
1000000,20/05/2014,25,16.6678315,436580,44.76532659999999,13/05/2014
600,06/08/2014,1,17.1996,0,44.78614630000001,06/08/2014
0,15/09/2014,0,15.9371599,0,44.9579335,14/09/2014
0,16/10/2015,0,16.8145949,0,45.1767123,14/10/2015
1000,19/01/1972,0,27.8183473,50,-21.9800052,19/01/1972
12007,/02/1988,8,27.8183473,0,-21.9800052,/02/1988
5500,19/02/1995,20,25.9352066,0,-24.6201896,19/02/1995
138776,/02/2000,3,25.936947,5000,-24.6725765,/02/2000
4960,02/06/2004,0,23.4329607,0,-19.8785979,01/02/2004
867,/03/2009,0,25.9362264,0,-24.6735958,/03/2009
3789,01/07/2009,0,25.936947,0,-24.6725765,10/05/2009
0,/03/2011,0,25.9362264,0,-24.6735958,/03/2011
0,/12/1948,200,-92.94327229999999,0,40.7394878,/12/1948
0,/12/1957,112,-92.94327229999999,0,40.7394878,/12/1957
0,/09/1959,100,-92.94327229999999,0,40.7394878,/09/1959
15000,/04/1964,0,-75.8398102,0,41.2663306,/04/1964
5000,05/07/1964,0,-52.5923009,500,-23.656009,05/07/1964
30000,/06/1965,16,-48.208794,7000,-13.5301046,/06/1965
240000,16/08/1965,6,-92.94327229999999,10000,40.7394878,16/08/1965
53581,11/01/1966,373,-43.3737893,51000,-22.8426301,11/01/1966
154557,21/05/1966,147,-38.3260615,9914,-12.706893,21/05/1966
0,/03/1966,40,-92.94327229999999,0,40.7394878,/03/1966
22093,23/01/1967,785,-92.94327229999999,7800,40.7394878,23/01/1967
87000,30/03/1967,0,-56.0673525,5000,-9.842251,30/03/1967
15000,20/09/1967,0,-49.4683145,1000,-29.035031,20/09/1967
